序號,英文名稱,中文名稱,中國大陸譯名,來源網站
31,chemical oxygen demand（COD）,化學需氧量,化学需氧量,https://terms.naer.edu.tw/
32,concentration monitoring,濃度監測,浓度监测,https://terms.naer.edu.tw/
33,conservation-oriented society,節約型社會,节约型社会,https://terms.naer.edu.tw/
34,cosmic environment,宇宙環境,宇宙环境,https://terms.naer.edu.tw/
35,courtyard environment,院落環境,院落环境,https://terms.naer.edu.tw/
36,cumulative action,蓄積作用,蓄积作用,https://terms.naer.edu.tw/
37,dedusting；dust removal,除塵,除尘,https://terms.naer.edu.tw/
38,dematerialization,非物質化,非物质化,https://terms.naer.edu.tw/
39,desertification,沙漠化,荒漠化,https://terms.naer.edu.tw/
40,desertification,沙漠化,沙化,https://terms.naer.edu.tw/
41,"desulfurization； desulfuration；
desulphurization",脫硫,脱硫,https://terms.naer.edu.tw/
42,digital environmental protection,數字環境保護,数字环境保护,https://terms.naer.edu.tw/
43,disposal of sludge,污泥處理,污泥处理,https://terms.naer.edu.tw/
44,domestic refuse,生活垃圾,生活垃圾,https://terms.naer.edu.tw/
45,dry deposition；dry precipitation,乾沈降,干沉降,https://terms.naer.edu.tw/
46,dust,粉塵,粉尘,https://terms.naer.edu.tw/
47,dustfall,落塵,降尘,https://terms.naer.edu.tw/
48,eco pond,生態塘,生态塘,https://terms.naer.edu.tw/
49,eco-agriculture,生態農業,生态农业,https://terms.naer.edu.tw/
50,eco-industrial park,生態工業園區,生态工业园区,https://terms.naer.edu.tw/
51,eco-industry,生態工業,生态工业,https://terms.naer.edu.tw/
52,ecological assessment,生態評估,生态评价,https://terms.naer.edu.tw/
53,ecological degeneration,生態退化,生态退化,https://terms.naer.edu.tw/
54,ecological demonstration area,生態示範區,生态示范区,https://terms.naer.edu.tw/
55,ecological design,生態設計,生态设计,https://terms.naer.edu.tw/
56,"ecological disturbance；
ecological imbalance",生態擾動,生态失调,https://terms.naer.edu.tw/
57,ecological footprint,生態足跡,生态足迹,https://terms.naer.edu.tw/
58,ecological housing；ecological residence,生態住宅,生态住宅,https://terms.naer.edu.tw/
59,ecological migration,生態移民,生态移民,https://terms.naer.edu.tw/
60,ecological restoration,生態恢復,生态恢复,https://terms.naer.edu.tw/
61,ecomaterial,生態材料,环境材料,https://terms.naer.edu.tw/
62,El-Nino phenomenon,尼諾(聖嬰)現象,厄尔尼诺现象,https://terms.naer.edu.tw/
63,electromagnetic pollution,電磁污染,电磁污染,https://terms.naer.edu.tw/
64,emergency monitoring,緊急監測,应急监测,https://terms.naer.edu.tw/
65,energy flow,能量流,能量流动,https://terms.naer.edu.tw/
66,energy recovery,能量回收,能量回收,https://terms.naer.edu.tw/
67,environment,環境,环境,https://terms.naer.edu.tw/
68,environmental acoustics,環境聲學,环境声学,https://terms.naer.edu.tw/
69,environmental ambient assessment,環境現狀評估,环境现状评价,https://terms.naer.edu.tw/
70,environmental assessment of single element,單一因素評估,单要素评价,https://terms.naer.edu.tw/
71,environmental background value,環境背景值,环境背景值,https://terms.naer.edu.tw/
72,environmental biology,環境生物學,环境生物学,https://terms.naer.edu.tw/
73,environmental capacity,環境容量,环境容量,https://terms.naer.edu.tw/
74,environmental carrying capacity,環境承載力,环境承载力,https://terms.naer.edu.tw/
75,environmental chemistry,環境化學,环境化学,https://terms.naer.edu.tw/
76,environmental crisis,環境危機,环境危机,https://terms.naer.edu.tw/
77,environmental degradation,環境退化,环境退化,https://terms.naer.edu.tw/
78,environmental design,環境設計,环境设计,https://terms.naer.edu.tw/
79,environmental disaster；environmental hazards,環境災害,环境灾害,https://terms.naer.edu.tw/
80,environmental ecology,環境生態學,环境生态学,https://terms.naer.edu.tw/
81,environmental effect,環境效應,环境效应,https://terms.naer.edu.tw/
82,environmental electromagnetics,環境電磁學,环境电磁学,https://terms.naer.edu.tw/
83,environmental elements；environmental factors,環境要素,环境要素,https://terms.naer.edu.tw/
84,environmental emergency response,環境緊急應變,环境应急,https://terms.naer.edu.tw/
85,environmental engineering,環境工程；環境工程學,环境工程学,https://terms.naer.edu.tw/
86,environmental evolution,環境演化,环境演化,https://terms.naer.edu.tw/
87,environmental exposure,環境暴露,环境暴露,https://terms.naer.edu.tw/
88,environmental forecasting,環境預測,环境预测,https://terms.naer.edu.tw/
89,environmental function,環境功能,环境功能,https://terms.naer.edu.tw/
90,environmental geoscience,環境地球科學,环境地学,https://terms.naer.edu.tw/
91,environmental heat,環境熱學,环境热学,https://terms.naer.edu.tw/
92,environmental hormone,環境荷爾蒙,环境激素,https://terms.naer.edu.tw/
93,environmental impact assessment （EIA）,環境影響評估,环境影响评价,https://terms.naer.edu.tw/
94,environmental information,環境資訊,环境信息,https://terms.naer.edu.tw/
95,environmental label,環保標章,环境标志,https://terms.naer.edu.tw/
96,environmental mapping,環境製圖,环境制图,https://terms.naer.edu.tw/
97,environmental medicine,環境醫學,环境医学,https://terms.naer.edu.tw/
98,environmental monitoring,環境監測,环境监测,https://terms.naer.edu.tw/
99,environmental optics,環境光學,环境光学,https://terms.naer.edu.tw/
100,environmental physics,環境物理學,环境物理学,https://terms.naer.edu.tw/
101,environmental pollution,環境污染,环境污染,https://terms.naer.edu.tw/
102,environmental production,環境生產,环境生产,https://terms.naer.edu.tw/
103,environmental protection,環境保護,环境保护,https://terms.naer.edu.tw/
104,environmental quality,環境品質,环境质量,https://terms.naer.edu.tw/
105,environmental quality assessment,環境品質評估,环境质量评价,https://terms.naer.edu.tw/
106,environmental quality comprehensire evaluation,環境品質綜合評估,环境质量综合评价,https://terms.naer.edu.tw/
107,environmental refugees,環境難民,环境难民,https://terms.naer.edu.tw/
108,environmental regionalization； environmental zoning；environmental division,環境區劃,环境区划,https://terms.naer.edu.tw/
109,environmental remote sensing,環境遙測,环境遥感,https://terms.naer.edu.tw/
110,environmental review assessment,環境回顧評估,环境回顾评价,https://terms.naer.edu.tw/
111,environmental risk,環境風險,环境风险,https://terms.naer.edu.tw/
112,environmental risk assessment,環境風險評估,环境风险评价,https://terms.naer.edu.tw/
113,environmental satellite,環境衛星,环境卫星,https://terms.naer.edu.tw/
114,environmental sciences,環境科學,环境科学,https://terms.naer.edu.tw/
115,environmental security；environmental safety,環境安全,环境安全,https://terms.naer.edu.tw/
116,environmental self-purification,環境自淨,环境自净,https://terms.naer.edu.tw/
117,environmental structure,環境結構,环境结构,https://terms.naer.edu.tw/
118,environmental system,環境系統,环境系统,https://terms.naer.edu.tw/
119,environmental therapy,環境療法,环境疗法,https://terms.naer.edu.tw/
120,environmentally friendly,環境友好,环境友好,https://terms.naer.edu.tw/
121,eutrophication,優養,富营养化,https://terms.naer.edu.tw/
122,fertilizer pollution,肥料污染,化肥污染,https://terms.naer.edu.tw/
123,fine particulate,細粒狀物,细颗粒物,https://terms.naer.edu.tw/
124,fluctuation noise,起伏噪音,起伏噪声,https://terms.naer.edu.tw/
125,food contamination；food pollution,食品污染,食品污染,https://terms.naer.edu.tw/
126,food safety,食品安全,食品安全,https://terms.naer.edu.tw/
127,gas purification,煙氣淨化,烟气净化,https://terms.naer.edu.tw/
128,global environment,全球環境,全球环境,https://terms.naer.edu.tw/
129,global warming,全球暖化,全球变暖,https://terms.naer.edu.tw/
130,green consumption,綠色消費,绿色消费,https://terms.naer.edu.tw/
131,green design,綠色設計,绿色设计,https://terms.naer.edu.tw/
132,green food,綠色食品,绿色食品,https://terms.naer.edu.tw/
133,green package,綠色包裝,绿色包装,https://terms.naer.edu.tw/
134,green product,綠色產品,绿色产品,https://terms.naer.edu.tw/
135,green revolution,綠色革命,绿色革命,https://terms.naer.edu.tw/
136,greenhouse  gases,溫室氣體,温室气体,https://terms.naer.edu.tw/
137,greenhouse effect,溫室效應,温室效应,https://terms.naer.edu.tw/
138,groundwater depression；depression cone of groundwater；groundwater funnel,地下水洩降錐,地下水漏斗,https://terms.naer.edu.tw/
139,groundwater pollution,地下水污染,地下水污染,https://terms.naer.edu.tw/
140,hazardous chemical,危險化學品,危险化学品,https://terms.naer.edu.tw/
141,hazardous waste,危害性廢棄物,危险废物,https://terms.naer.edu.tw/
142,heavy metal pollution,重金屬污染,重金属污染,https://terms.naer.edu.tw/
143,impulsive noise,脈衝噪音,脉冲噪声,https://terms.naer.edu.tw/
144,indicator organism,指標生物,指示生物,https://terms.naer.edu.tw/
145,"inhalable particulate（IP）；
respirable particulate matter",可吸入粒狀物,可吸入颗粒物,https://terms.naer.edu.tw/
146,innocuous treatment,無害化,无害化,https://terms.naer.edu.tw/
147,inorganic pollutant,無機污染體,无机污染物,https://terms.naer.edu.tw/
148,itai-itai disease,痛痛病,痛痛病,https://terms.naer.edu.tw/
149,La Nina phenomenon,妮娜(反聖嬰)現象,拉尼娜现象,https://terms.naer.edu.tw/
150,land subsidence,地層下陷,地面沉降,https://terms.naer.edu.tw/
151,land treatment system,土地處理系統,土地处理系统,https://terms.naer.edu.tw/
152,landfill,土地掩埋,土地填埋,https://terms.naer.edu.tw/
153,landfill site,掩埋場,填埋场,https://terms.naer.edu.tw/
154,life cycle design(LCD),生命週期設計,生命周期设计,https://terms.naer.edu.tw/
155,light pollution,光污染,光污染,https://terms.naer.edu.tw/
156,loss of biodiversity,生物多樣性減少,生物多样性减少,https://terms.naer.edu.tw/
157,low carbon economy,低碳經濟,低碳经济,https://terms.naer.edu.tw/
158,marine pollution,海洋污染,海洋污染,https://terms.naer.edu.tw/
159,material cycle,物質循環,物质循环,https://terms.naer.edu.tw/
160,membrane separation,膜分離,膜分离,https://terms.naer.edu.tw/
161,Minamata disease,水俁病,水俣病,https://terms.naer.edu.tw/
162,mold toxin,黴菌毒素,霉菌毒素,https://terms.naer.edu.tw/
163,moving pollution source,移動污染源,移动污染源,https://terms.naer.edu.tw/
164,muffler；silencer,消聲器,消声器,https://terms.naer.edu.tw/
165,municipal refuse,城市垃圾,城市垃圾,https://terms.naer.edu.tw/
166,mycotoxin,真菌毒素,真菌毒素,https://terms.naer.edu.tw/
167,national park,國家公園,国家公园,https://terms.naer.edu.tw/
168,natural conservation,自然保育,自然保护,https://terms.naer.edu.tw/
169,natural environment,自然環境,自然环境,https://terms.naer.edu.tw/
170,natural reserve,自然保護區,自然保护区,https://terms.naer.edu.tw/
171,noise,噪音,噪声,https://terms.naer.edu.tw/
172,noise induced hearing loss,噪音性耳聾,噪声性耳聋,https://terms.naer.edu.tw/
173,noise label,噪音指標,噪声指标,https://terms.naer.edu.tw/
174,noise level,噪音級,噪声级,https://terms.naer.edu.tw/
175,noise pollution,噪音污染,噪声污染,https://terms.naer.edu.tw/
176,noise radiation,噪音輻射,噪声辐射,https://terms.naer.edu.tw/
177,noise reduction；noise abatement,降噪,降噪,https://terms.naer.edu.tw/
178,noise source,噪音源,噪声源,https://terms.naer.edu.tw/
179,noise source monitoring,噪音源監測,噪声源监测,https://terms.naer.edu.tw/
180,nuclear accident；nuclear incident,核事故,核事故,https://terms.naer.edu.tw/
181,nuclear safety,核安全,核安全,https://terms.naer.edu.tw/
182,nuclear waste,核廢料,核废物,https://terms.naer.edu.tw/
183,odor masking,惡臭掩蔽,恶臭掩蔽,https://terms.naer.edu.tw/
184,offensive odor；odor；malodor,惡臭,恶臭,https://terms.naer.edu.tw/
185,organic agriculture,有機農業,有机农业,https://terms.naer.edu.tw/
186,organic food,有機食品,有机食品,https://terms.naer.edu.tw/
187,organic pollutant,有機污染體,有机污染物,https://terms.naer.edu.tw/
188,ozone hole,臭氧空洞,臭氧空洞,https://terms.naer.edu.tw/
189,particulate matter,粒狀物,颗粒物,https://terms.naer.edu.tw/
190,persistent organic pollutants（POPs）,持久性有機污染體,持久性有机污染物,https://terms.naer.edu.tw/
191,pesticide pollution,醫藥污染,农药污染,https://terms.naer.edu.tw/
192,pesticide residue,農藥殘留,农药残留,https://terms.naer.edu.tw/
193,photochemical smog,光化學煙霧,光化学烟雾,https://terms.naer.edu.tw/
194,pink noise,无规噪音,无规噪声,https://terms.naer.edu.tw/
195,pollutant,污染體,污染物,https://terms.naer.edu.tw/
196,pollution chemistry,污染化學,污染化学,https://terms.naer.edu.tw/
197,pollution ecology,污染生態學,污染生态学,https://terms.naer.edu.tw/
198,pollution prevention and control,環境污染預防和控制,污染防治,https://terms.naer.edu.tw/
199,pollution source,污染源,污染源,https://terms.naer.edu.tw/
200,pollution sources monitoring,污染源監測,污染源监测,https://terms.naer.edu.tw/
201,precipitator；dust remover,除塵器,除尘器,https://terms.naer.edu.tw/
202,primary environment,原生環境,原生环境,https://terms.naer.edu.tw/
203,primary pollutant,依次污染體,一次污染物,https://terms.naer.edu.tw/
204,product life cycle(PLC),產品生命週期,产品生命周期,https://terms.naer.edu.tw/
205,public nuisance,公害,公害,https://terms.naer.edu.tw/
206,public nuisance disease,公害病,公害病,https://terms.naer.edu.tw/
207,radioactive deposit,放射性沈積物,放射性沉降物,https://terms.naer.edu.tw/
208,radioactive dust,放射性塵埃,放射性尘埃,https://terms.naer.edu.tw/
209,radioactive waste；radwaste,放射性廢物,放射性废物,https://terms.naer.edu.tw/
210,radioactive wastwater,放射性廢水,放射性废水,https://terms.naer.edu.tw/
211,random noise,无规噪音,无规噪声,https://terms.naer.edu.tw/
212,reclaimed water,回收水,中水,https://terms.naer.edu.tw/
213,red tide,赤潮,赤潮,https://terms.naer.edu.tw/
214,refuse burning；waste incineration,垃圾焚化,垃圾焚烧,https://terms.naer.edu.tw/
215,regenerative material,再生材料,再生材料,https://terms.naer.edu.tw/
216,regional environment,區域環境,区域环境,https://terms.naer.edu.tw/
217,resource recovery of waste,廢物資源化,废物资源化,https://terms.naer.edu.tw/
218,safe landfill；security landfill,安全掩埋,安全填埋,https://terms.naer.edu.tw/
219,sand storm,沙塵暴,沙尘暴,https://terms.naer.edu.tw/
220,sanitary landfill,衛生掩埋,卫生填埋,https://terms.naer.edu.tw/
221,seawater intrusion,海水入侵,海水入侵,https://terms.naer.edu.tw/
222,secondary environment,次生環境,次生环境,https://terms.naer.edu.tw/
223,secondary pollutant,二次污染體,二次污染物,https://terms.naer.edu.tw/
224,settlement environment,聚落環境,聚落环境,https://terms.naer.edu.tw/
225,sewage pond,污水塘,污水塘,https://terms.naer.edu.tw/
226,sink,匯,汇,https://terms.naer.edu.tw/
227,sludge,污泥,污泥,https://terms.naer.edu.tw/
228,sludge conditioning,污泥調理,污泥调理,https://terms.naer.edu.tw/
229,sludge digestion,污泥消化,污泥消化,https://terms.naer.edu.tw/
230,smog,煙霧,烟雾,https://terms.naer.edu.tw/
231,social environment,社會環境,社会环境,https://terms.naer.edu.tw/
232,soil environment,土壤環境,土壤环境,https://terms.naer.edu.tw/
233,soil pollution,土壤污染,土壤污染,https://terms.naer.edu.tw/
234,solid waste,固體廢棄物,固体废物,https://terms.naer.edu.tw/
235,sound insulation,隔聲,隔声,https://terms.naer.edu.tw/
236,source,源,源,https://terms.naer.edu.tw/
237,source reduction,源削減,源削减,https://terms.naer.edu.tw/
238,space junk,太空垃圾,太空垃圾,https://terms.naer.edu.tw/
239,stationary pollution source,固定污染源,固定污染源,https://terms.naer.edu.tw/
240,steady noise,穩態噪音,稳态噪声,https://terms.naer.edu.tw/
241,subjective assessment of noise,噪音主觀評價,噪声主观评价,https://terms.naer.edu.tw/
242,surface water pollution,地表水污染,地表水污染,https://terms.naer.edu.tw/
243,sustainable development,永續發展,可持续发展,https://terms.naer.edu.tw/
244,target organ,目標器官,靶器官,https://terms.naer.edu.tw/
245,target organism,目標生物,靶生物,https://terms.naer.edu.tw/
246,thermal comfort,熱舒適,热舒适,https://terms.naer.edu.tw/
247,thermal decomposition of waste,廢物熱解,废物热解,https://terms.naer.edu.tw/
248,thermal island,熱島,热岛,https://terms.naer.edu.tw/
249,thermal pollution,熱污染,热污染,https://terms.naer.edu.tw/
250,total dissolved solid(TDS),總溶解固體,总溶解固体,https://terms.naer.edu.tw/
251,total nitrogen（TN）,總氮量,总氮,https://terms.naer.edu.tw/
252,total organic carbon （TOC）,總有機碳,总有机碳,https://terms.naer.edu.tw/
253,total phosphorus（TP）,總磷,总磷,https://terms.naer.edu.tw/
254,total quantity  monitoring,總量監測,总量监测,https://terms.naer.edu.tw/
255,total solids (TS),總固體,总固体,https://terms.naer.edu.tw/
256,total suspended particulate（TSP）,總懸浮粒狀物,总悬浮颗粒物,https://terms.naer.edu.tw/
257,transient noise,瞬態噪音,瞬态噪声,https://terms.naer.edu.tw/
258,urban environment,城市環境,城市环境,https://terms.naer.edu.tw/
259,vibration absorption,吸震,吸振,https://terms.naer.edu.tw/
260,vibration isolation,隔震,隔振,https://terms.naer.edu.tw/
261,vibration pollution,震動污染,振动污染,https://terms.naer.edu.tw/
262,vibration reduction,減震,减振,https://terms.naer.edu.tw/
263,village environment,村落環境,村落环境,https://terms.naer.edu.tw/
264,volatile organic compounds(vocs),揮發性有機物,挥发性有机物,https://terms.naer.edu.tw/
265,waste exchange,廢物交換,废物交换,https://terms.naer.edu.tw/
266,waste heat,廢熱,废热,https://terms.naer.edu.tw/
267,waste minimization,廢物最少化,废物最少化,https://terms.naer.edu.tw/
268,waste packaging,廢物包裝,废物包装,https://terms.naer.edu.tw/
269,waste prevention,廢物預防,废物预防,https://terms.naer.edu.tw/
270,waste recycle；waste recovery,廢物回收,废物回收,https://terms.naer.edu.tw/
271,waste solidification,廢物固化,废物固化,https://terms.naer.edu.tw/
272,wastewater irrigation,廢水灌溉,污水灌溉,https://terms.naer.edu.tw/
273,wastewater treatment plant,污水處理廠,污水处理厂,https://terms.naer.edu.tw/
274,water bloom,水華,水华,https://terms.naer.edu.tw/
275,water environment,水環境,水环境,https://terms.naer.edu.tw/
276,water pollution,水污染,水污染,https://terms.naer.edu.tw/
277,wet deposition,濕沈降,湿沉降,https://terms.naer.edu.tw/
278,white noise,粉紅噪音,粉红噪声,https://terms.naer.edu.tw/
279,world heritage site,世界遺產地,世界遗产地,https://terms.naer.edu.tw/
280,Yokkaichi asthma,四日市哮喘,四日市哮喘,https://terms.naer.edu.tw/
281,zero discharge；zero-emission,零排放,零排放,https://terms.naer.edu.tw/
