序號,英文名稱,中文名稱,來源網站
150,access for firefighter,消防[員]通路；消防[員]通道,https://terms.naer.edu.tw/
151,access hole,檢修孔；銲接孔,https://terms.naer.edu.tw/
152,access ramp,出入口坡道；出入引道{水利}；進出匝道{交通},https://terms.naer.edu.tw/
153,access right,存取權{資訊},https://terms.naer.edu.tw/
154,access road,出入道路,https://terms.naer.edu.tw/
155,access time,存取時間{資訊},https://terms.naer.edu.tw/
156,accessibility,可及性,https://terms.naer.edu.tw/
157,accessible ramp,無障礙坡道,https://terms.naer.edu.tw/
158,accessioning,點收,https://terms.naer.edu.tw/
159,accessory,附屬品；附屬配件,https://terms.naer.edu.tw/
160,accessory hierarchy,附屬配件組成架構,https://terms.naer.edu.tw/
161,accident,事故,https://terms.naer.edu.tw/
162,accident blackspot,經常肇事地點,https://terms.naer.edu.tw/
163,accident location file,肇事位置檔案,https://terms.naer.edu.tw/
164,accident prevention,事故預防,https://terms.naer.edu.tw/
165,accident reconstruction,事故現場重建,https://terms.naer.edu.tw/
166,accident scene,事故現場,https://terms.naer.edu.tw/
167,accident spot map,肇事地點圖,https://terms.naer.edu.tw/
168,accidental air,陷入空氣,https://terms.naer.edu.tw/
169,accidental error,偶然誤差,https://terms.naer.edu.tw/
170,accidents involving damage to vehicle or property,車輛或財物受損之事故,https://terms.naer.edu.tw/
171,accidents involving death or personal injury,死傷事故,https://terms.naer.edu.tw/
172,acclimatization,環境適應性,https://terms.naer.edu.tw/
173,acclimatory response,馴化反應；適應反應,https://terms.naer.edu.tw/
174,accommodation berth,包租船席,https://terms.naer.edu.tw/
175,accommodation ladder,舷梯,https://terms.naer.edu.tw/
176,accreditation,認證,https://terms.naer.edu.tw/
177,accretion beach,堆積海灘,https://terms.naer.edu.tw/
178,accumulative rain gauge,累積雨量計,https://terms.naer.edu.tw/
179,accuracy,精確度；準確度,https://terms.naer.edu.tw/
180,acetone,丙酮,https://terms.naer.edu.tw/
181,acetylation,乙醯化,https://terms.naer.edu.tw/
182,acetylcholinesterase (ACHE),乙醯基膽鹼酯酶,https://terms.naer.edu.tw/
183,acetylene fusion installment,乙炔熔接裝置,https://terms.naer.edu.tw/
184,acid deposition,酸沉降,https://terms.naer.edu.tw/
185,acid dew point,酸露點,https://terms.naer.edu.tw/
186,acid dye,酸性染料,https://terms.naer.edu.tw/
187,acid etching,酸蝕刻,https://terms.naer.edu.tw/
188,acid fog,酸霧,https://terms.naer.edu.tw/
189,acid formation,酸生成,https://terms.naer.edu.tw/
190,acid gas,酸性氣體,https://terms.naer.edu.tw/
191,acid mine drainage,酸礦排水,https://terms.naer.edu.tw/
192,acid mist,酸薄霧；酸液滴,https://terms.naer.edu.tw/
193,acid number,酸值；酸價,https://terms.naer.edu.tw/
194,acid plume,酸性煙柱,https://terms.naer.edu.tw/
195,acid precipitation,酸性降水,https://terms.naer.edu.tw/
196,acid rain,酸雨,https://terms.naer.edu.tw/
197,acid recovery,酸回收,https://terms.naer.edu.tw/
198,acid red 114,酸性紅114染料,https://terms.naer.edu.tw/
199,acid rock,酸性岩,https://terms.naer.edu.tw/
200,acid steel,矽爐鋼,https://terms.naer.edu.tw/
201,acid value,酸價,https://terms.naer.edu.tw/
202,acid waste,酸性廢污,https://terms.naer.edu.tw/
203,acid-base catalysis,酸鹼催化,https://terms.naer.edu.tw/
204,acid-base indicator,酸鹼指示劑,https://terms.naer.edu.tw/
205,acid-base titration,酸鹼滴定,https://terms.naer.edu.tw/
206,acid-forming bacteria,酸生成菌,https://terms.naer.edu.tw/
207,acidic extractant,酸性萃取劑,https://terms.naer.edu.tw/
208,acidic rock,酸性岩,https://terms.naer.edu.tw/
209,acidification,酸化[作用],https://terms.naer.edu.tw/
210,acidity,酸度,https://terms.naer.edu.tw/
211,acidophilic microorganism,嗜酸微生物,https://terms.naer.edu.tw/
212,acoustic consultant,音響顧問,https://terms.naer.edu.tw/
213,acoustic emission,聲射；音洩；聲洩；音射,https://terms.naer.edu.tw/
214,acoustic fatigue,聲疲勞,https://terms.naer.edu.tw/
215,acoustic flooring,隔音地板,https://terms.naer.edu.tw/
216,acoustic insulation material,隔音材料,https://terms.naer.edu.tw/
217,acoustic power,音響功率,https://terms.naer.edu.tw/
218,acoustic privacy,聲響私密性,https://terms.naer.edu.tw/
219,acoustic resonance,音響共振,https://terms.naer.edu.tw/
220,acoustic signal,音響號誌,https://terms.naer.edu.tw/
221,acoustic surveying,音響測距法；聲波測距法,https://terms.naer.edu.tw/
222,acoustic velocity meter,聲學流速計,https://terms.naer.edu.tw/
223,acoustic wall board,吸音牆板,https://terms.naer.edu.tw/
224,acoustical barrier,音響阻隔,https://terms.naer.edu.tw/
225,acoustical can noise barrier,吸音筒類隔音設施,https://terms.naer.edu.tw/
226,acoustical ceiling,吸音天花板,https://terms.naer.edu.tw/
227,acoustical insulation sealant,隔音材；隔音層,https://terms.naer.edu.tw/
228,acoustical metal deck,消音金屬承板,https://terms.naer.edu.tw/
229,acoustical suspension,懸吊音效板,https://terms.naer.edu.tw/
230,acoustical treatment,音效處理,https://terms.naer.edu.tw/
231,acoustical wall finish,吸音牆面裝修,https://terms.naer.edu.tw/
232,acquisition method,獲取方法,https://terms.naer.edu.tw/
233,acquisition negotiation,獲取協商,https://terms.naer.edu.tw/
234,acquisition of right of way,路權徵購；路權徵收,https://terms.naer.edu.tw/
235,acquisition plan,獲取計畫,https://terms.naer.edu.tw/
236,acquisition plan review (APR),獲取計畫審查,https://terms.naer.edu.tw/
237,acquisition planning,獲取規劃,https://terms.naer.edu.tw/
238,acquisition process,獲取流程,https://terms.naer.edu.tw/
239,acquisition strategy,獲取策略,https://terms.naer.edu.tw/
240,acre-foot,英畝-英呎{體積},https://terms.naer.edu.tw/
241,acropolis,衛城{希臘},https://terms.naer.edu.tw/
242,acroterion,屋頂雕像 {古典神廟},https://terms.naer.edu.tw/
243,acrylic fiber,聚丙烯腈系纖維；壓克力纖維,https://terms.naer.edu.tw/
244,acrylic resin,丙烯酸樹脂；壓克力樹脂,https://terms.naer.edu.tw/
245,acrylonitrile,丙烯腈,https://terms.naer.edu.tw/
246,act of God,天災；不可抗力,https://terms.naer.edu.tw/
247,act of government,政府作為,https://terms.naer.edu.tw/
248,actinomycetes,放線菌；放射菌,https://terms.naer.edu.tw/
249,action architecture,行動建築,https://terms.naer.edu.tw/
250,action item,行動項目,https://terms.naer.edu.tw/
251,action item flag,行動項標記,https://terms.naer.edu.tw/
252,action painting,行動繪畫,https://terms.naer.edu.tw/
253,action plan,行動計畫,https://terms.naer.edu.tw/
254,activated bio-filtration process (ABF),活性生物濾床法;活性生物濾床程序,https://terms.naer.edu.tw/
255,activated carbon,活性碳,https://terms.naer.edu.tw/
256,activated carbon adsorption,活性碳吸附,https://terms.naer.edu.tw/
257,activated carbon fiber,活性碳纖維,https://terms.naer.edu.tw/
258,activated carbon treatment,活性碳處理,https://terms.naer.edu.tw/
259,activated charcoal,活性木炭,https://terms.naer.edu.tw/
260,activated silica,活性矽土,https://terms.naer.edu.tw/
261,activated sludge,活性污泥,https://terms.naer.edu.tw/
262,activated sludge process,活性污泥程序；活性污泥法,https://terms.naer.edu.tw/
263,activated sludge system,活性污泥系統,https://terms.naer.edu.tw/
264,activation,活化[作用],https://terms.naer.edu.tw/
265,activation energy,活化能,https://terms.naer.edu.tw/
266,activation product,活化產物,https://terms.naer.edu.tw/
267,activator,活化劑；激發劑,https://terms.naer.edu.tw/
268,active contour model,主動輪廓模式；動態輪廓模式,https://terms.naer.edu.tw/
269,active data collection,主動式資料蒐集,https://terms.naer.edu.tw/
270,active earth pressure,主動土壓力,https://terms.naer.edu.tw/
271,active fault,活動斷層,https://terms.naer.edu.tw/
272,active force,作用力,https://terms.naer.edu.tw/
273,active listening,主動傾聽,https://terms.naer.edu.tw/
274,active oxygen percent,活性氧含量,https://terms.naer.edu.tw/
275,active recreation,動態遊憩,https://terms.naer.edu.tw/
276,active remote sensing,主動式遙測 ,https://terms.naer.edu.tw/
277,active sensor,主動式感測器,https://terms.naer.edu.tw/
278,active solar energy system,主動式太陽能系統,https://terms.naer.edu.tw/
279,active system,主動式系統,https://terms.naer.edu.tw/
280,active tilting train,主動式傾斜列車,https://terms.naer.edu.tw/
281,active ventilation,主動式通風,https://terms.naer.edu.tw/
282,activism,行動主義,https://terms.naer.edu.tw/
283,activity,活性；活動；作業,https://terms.naer.edu.tw/
284,activity arrow network,作業箭線網圖,https://terms.naer.edu.tw/
285,activity based management (ABM),作業基礎管理,https://terms.naer.edu.tw/
286,activity calendar,作業行事曆,https://terms.naer.edu.tw/
287,activity code,作業碼,https://terms.naer.edu.tw/
288,activity coefficient,活性係數,https://terms.naer.edu.tw/
289,activity constant,活性常數,https://terms.naer.edu.tw/
290,activity definition,作業定義,https://terms.naer.edu.tw/
291,activity description,作業描述,https://terms.naer.edu.tw/
292,activity duration,作業工期,https://terms.naer.edu.tw/
293,activity duration estimating,作業工期估算,https://terms.naer.edu.tw/
294,activity elaboration,作業詳述,https://terms.naer.edu.tw/
295,activity file,作業檔案,https://terms.naer.edu.tw/
296,activity id,作業識別碼,https://terms.naer.edu.tw/
297,activity list,作業清單,https://terms.naer.edu.tw/
298,activity node network,作業節點網圖,https://terms.naer.edu.tw/
299,activity on arc (AOA),箭線法；弧線作業網圖,https://terms.naer.edu.tw/
300,activity on arrow (AOA),箭線法,https://terms.naer.edu.tw/
301,activity on node (AON),節點法；節點圖,https://terms.naer.edu.tw/
302,activity oriented schedule,作業導向進度表,https://terms.naer.edu.tw/
303,activity property,作業屬性,https://terms.naer.edu.tw/
304,activity quantity,作業數量,https://terms.naer.edu.tw/
305,activity space,作業空間；活動空間,https://terms.naer.edu.tw/
306,activity status,作業狀態,https://terms.naer.edu.tw/
307,activity timing,作業時機,https://terms.naer.edu.tw/
308,activity-based costing (ABC),作業基礎成本法；ABC成本法,https://terms.naer.edu.tw/
309,activity-on-arrow (AOA),箭線法{要徑法中以箭線代表作業},https://terms.naer.edu.tw/
310,activity-on-node (AON),節點法{要徑法中以節點代表作業},https://terms.naer.edu.tw/
311,actual cost (AC),實際成本,https://terms.naer.edu.tw/
312,actual cost data,實際成本資料,https://terms.naer.edu.tw/
313,actual cost of work performed (ACWP),完成工作實際成本,https://terms.naer.edu.tw/
314,actual date,實際日期,https://terms.naer.edu.tw/
315,actual direct cost,實際直接成本,https://terms.naer.edu.tw/
316,actual displacement,實際排水量{船舶用},https://terms.naer.edu.tw/
317,actual duration,實際工期,https://terms.naer.edu.tw/
318,actual expenditure,實際支出,https://terms.naer.edu.tw/
319,actual finish,實際完成,https://terms.naer.edu.tw/
320,actual finish date (AF),實際完成日,https://terms.naer.edu.tw/
321,actual group refractive index,實際群折射率,https://terms.naer.edu.tw/
322,actual image point,實際成像點,https://terms.naer.edu.tw/
323,actual oxygen requirement,實際氧需量,https://terms.naer.edu.tw/
324,actual point of frog,實際岔尖；岔心實際交點,https://terms.naer.edu.tw/
325,actual progress,實際進度,https://terms.naer.edu.tw/
326,actual quantity work performed,實作數量,https://terms.naer.edu.tw/
327,actual risk,實際風險,https://terms.naer.edu.tw/
328,actual start,實際開始,https://terms.naer.edu.tw/
329,actual start date (AS),實際開始日,https://terms.naer.edu.tw/
330,acute exposure,急性暴露,https://terms.naer.edu.tw/
331,acute radiation injury,急性輻射傷害,https://terms.naer.edu.tw/
332,acute radiation syndrome (ARS),急性輻射症候群,https://terms.naer.edu.tw/
333,acute toxicity,急毒性；急性毒性,https://terms.naer.edu.tw/
334,adaptability,調適能力,https://terms.naer.edu.tw/
335,adaptation,調適,https://terms.naer.edu.tw/
336,adaptive architecture,適應性建築,https://terms.naer.edu.tw/
337,adaptive enzyme,適應酵素,https://terms.naer.edu.tw/
338,adaptive radiation,適應擴張；適應演變,https://terms.naer.edu.tw/
339,adaptive reuse,適應性再利用,https://terms.naer.edu.tw/
340,adaptive sampling,適應性抽樣；自適性取樣,https://terms.naer.edu.tw/
341,adaptive strategy,調適策略,https://terms.naer.edu.tw/
342,adaptive zone,調適區,https://terms.naer.edu.tw/
343,add tape,加式刻劃捲尺,https://terms.naer.edu.tw/
344,added parameter,附加參數,https://terms.naer.edu.tw/
345,added value,加值,https://terms.naer.edu.tw/
346,addenda,附加條款,https://terms.naer.edu.tw/
347,addendum,補充規定；補充文件,https://terms.naer.edu.tw/
348,addition,[水泥]添加物,https://terms.naer.edu.tw/
349,addition polymerization,加成聚合反應,https://terms.naer.edu.tw/
350,addition work,增建工程,https://terms.naer.edu.tw/
351,additional panel,標誌附牌,https://terms.naer.edu.tw/
352,additional parameter,附加參數,https://terms.naer.edu.tw/
353,additional service,額外服務,https://terms.naer.edu.tw/
354,additive,添加物；添加劑,https://terms.naer.edu.tw/
355,additive amount,增量,https://terms.naer.edu.tw/
356,additive constant,附加常數,https://terms.naer.edu.tw/
357,additive for bituminous mixtures,瀝青混合料添加劑,https://terms.naer.edu.tw/
358,additive model,可加模型,https://terms.naer.edu.tw/
359,additive primary,加性原色,https://terms.naer.edu.tw/
360,additive primary color　,加色法原色,https://terms.naer.edu.tw/
361,additive reaction,加成反應,https://terms.naer.edu.tw/
362,additivity,加成性,https://terms.naer.edu.tw/
363,adenine,腺嘌呤,https://terms.naer.edu.tw/
364,adenosine diphosphate (ADP),二磷酸腺苷,https://terms.naer.edu.tw/
365,adenosine triphosphate (ATP),三磷酸腺苷,https://terms.naer.edu.tw/
366,adherend,黏合體；黏著體,https://terms.naer.edu.tw/
367,adhesion,黏合；黏著,https://terms.naer.edu.tw/
368,adhesion coefficient,黏著係數,https://terms.naer.edu.tw/
369,adhesion loss,黏著力損失,https://terms.naer.edu.tw/
370,adhesion railway,黏著式鐵路,https://terms.naer.edu.tw/
371,adhesion tractive force,黏著牽引力,https://terms.naer.edu.tw/
372,adhesive,黏合劑；黏著劑,https://terms.naer.edu.tw/
373,adhesive anchor,黏結式錨栓,https://terms.naer.edu.tw/
374,adhesive bonding strength,黏著接合強度,https://terms.naer.edu.tw/
375,adhesive film,黏著膜,https://terms.naer.edu.tw/
376,adhesive joint,黏著接頭；黏著縫,https://terms.naer.edu.tw/
377,adhesive-backed masking film,背膠遮光軟片；背膠遮光底片,https://terms.naer.edu.tw/
378,adhesiveness,黏著性,https://terms.naer.edu.tw/
379,adiabatic,絕熱狀態,https://terms.naer.edu.tw/
380,adiabatic cooling,絕熱冷卻,https://terms.naer.edu.tw/
381,adiabatic curing,絕熱養護,https://terms.naer.edu.tw/
382,adiabatic flame temperature,絕熱火焰溫度,https://terms.naer.edu.tw/
383,adiabatic lapse rate,絕熱傾率；絕熱遞減率,https://terms.naer.edu.tw/
384,adiabatic process,絕熱過程,https://terms.naer.edu.tw/
385,adiabatic temperature rise,絕熱溫升｛環境｝；絕熱升溫｛材料｝,https://terms.naer.edu.tw/
386,adion,吸附離子,https://terms.naer.edu.tw/
387,adjudicator,評判者；裁決者,https://terms.naer.edu.tw/
388,adjust,平差,https://terms.naer.edu.tw/
389,adjusting screw,調整螺絲,https://terms.naer.edu.tw/
390,adjustment,平差；調整；校正,https://terms.naer.edu.tw/
391,adjustment of simple level circuit,簡易環水準平差,https://terms.naer.edu.tw/
392,adjustment screw,調整夾；調整螺釘；調節螺栓,https://terms.naer.edu.tw/
393,administration dialog box,管理對話方塊,https://terms.naer.edu.tw/
394,administrative boundary,行政區界,https://terms.naer.edu.tw/
395,administrative center,行政中心,https://terms.naer.edu.tw/
396,administrative change,行政變更,https://terms.naer.edu.tw/
397,administrative closure,行政結案,https://terms.naer.edu.tw/
398,administrative district,行政區,https://terms.naer.edu.tw/
399,administrative management,行政管理,https://terms.naer.edu.tw/
400,administrative metadata,管理用詮釋資料,https://terms.naer.edu.tw/
401,administrative metadata,管理用詮釋資料,https://terms.naer.edu.tw/
402,administrative overhead,行政管理費,https://terms.naer.edu.tw/
403,admissible error,容許誤差,https://terms.naer.edu.tw/
404,admixture,摻料,https://terms.naer.edu.tw/
405,admixture for concrete,混凝土摻料；混凝土摻劑,https://terms.naer.edu.tw/
406,adobe,日曬磚；土埆磚,https://terms.naer.edu.tw/
407,adobe brick,土磚,https://terms.naer.edu.tw/
408,adsorbate,吸附質,https://terms.naer.edu.tw/
409,adsorbed water,吸著水；附著水,https://terms.naer.edu.tw/
410,adsorbent,吸附劑；吸附材,https://terms.naer.edu.tw/
411,adsorption,吸附；吸著,https://terms.naer.edu.tw/
412,adsorption column,吸附柱,https://terms.naer.edu.tw/
413,adsorption isobar,等壓吸附線,https://terms.naer.edu.tw/
414,adsorption isotherm,等溫吸附線,https://terms.naer.edu.tw/
415,adsorption water,吸附水,https://terms.naer.edu.tw/
416,advance direction sign,前置方向標誌,https://terms.naer.edu.tw/
417,advance payment,預付款,https://terms.naer.edu.tw/
418,advance payment certificate,預付款保證書,https://terms.naer.edu.tw/
419,advanced composite,先進複合材料,https://terms.naer.edu.tw/
420,advanced decay,後期腐朽,https://terms.naer.edu.tw/
421,advanced decay,後期腐朽,https://terms.naer.edu.tw/
422,advanced delivery management (ADM),先期交付管理,https://terms.naer.edu.tw/
423,advanced material release (AMR),先期材料請領,https://terms.naer.edu.tw/
424,advanced oxidation processes (AOPs),髙級氧化程序,https://terms.naer.edu.tw/
425,advanced payment guarantee,預付款保證,https://terms.naer.edu.tw/
426,advanced shoring method,支撐先進工法{橋梁},https://terms.naer.edu.tw/
427,advanced stage of decay,後期腐朽階段,https://terms.naer.edu.tw/
428,advanced treatment,高級處理,https://terms.naer.edu.tw/
429,advanced very high resolution radiometer (AVHRR),先進超高解析度輻射儀,https://terms.naer.edu.tw/
430,advanced wastewater treatment,廢水髙級處理,https://terms.naer.edu.tw/
431,advancing color,前進色；接近色；暖色,https://terms.naer.edu.tw/
432,advancing-slope grouting,推進傾斜式灌漿,https://terms.naer.edu.tw/
